respondent,state,district,newzip,sfaid,f2s,aware2012,startserv,starttaste,startuse,startgrdn,startsrvg,startgrdntst,starttrip,startvisit,starttheme,startprom,startmedia,starthost,startceleb,startinteg,startothrspec,localdef2012,localdefothr2012,regdef2012,othrrest2012,awarefuture,planserv,plantaste,planuse,plangrdn,plansrvg,plangrdntst,plantrip,planvisit,plantheme,planprom,planmedia,planhost,planceleb,planinteg,planothrspec,whenstart,awarenoplan,probseasf2sno,probavailf2sno,probrangef2sno,probhighf2sno,probunstablef2sno,probreliabf2sno,probcomplf2sno,probprocf2sno,probsupplierf2sno,probinfof2sno,proborderf2sno,probtimef2sno,probqualf2sno,probdelivf2sno,probresolvf2sno,probpayf2sno,probothrf2sno,awaref2sdk,serv,taste,coach,grdn,srvg,demo,trip,visit,theme,prom,media,host,celeb,integ,othr2011spec,ageprek,agek5,age68,age912,ageothr1,schoolnum,schoolnumwithmulti,gardennum,gardennumwithmulti,localdef2011,locdefothr2011,regiondef2011,othrrest2011,aware2011,usegeoprf,usedbreak,usedlunch,usedsup,usedsnack,usedffvp,usedsumr,directprod,directcoop,directfmkt,directcsa,directmanu,interdist,intercoop,interfsmc,interdod,interusda,interstate,interothr,fruit,veg,milk,dairy,meat,eggs,seafd,vegprot,grain,baked,herb,othr,specothrpurch,catlist,catwantlist,top1,top2,top3,top4,top5,top5list,fruitfreq,vegfreq,milkfreq,dairyfreq,meatfreq,eggsfreq,seafdfreq,vegprotfreq,grainfreq,bakedfreq,herbfreq,othrfreq,specothrfreq,newcost,newcostwithmulti,newshincl,pctsummarypage,pctdetailpage,newshinclwithmulti,newshexcl,newshexclwithmulti,dolinclmilk,dolexclmilk,future,futureothr,probseas2011,probavail2011,probrange2011,probhigh2011,probunstable2011,probreliab2011,probcompl2011,probproc2011,probsupplier2011,probinfo2011,proborder2011,probtime2011,probqual2011,probdeliv2011,probresolv2011,probpay2011,probothr12011,othrinfo,success,success2,mast_fax_late,multidistresp,corrflag,phase2,leaid,CONUM,CDCODE,LATCOD,LONCOD,TYPE,BIEA,students,allschools,totexpfs,salaryfs,benefitsfs,nonlaborexp,salesfs,fedmoney,TOTALEXP,ULOCAL,pctfarm,AM,ASIAN,HISP,BLACK,WHITE,PACIFIC,TR
2623913433.0,CA,ALUM ROCK UNION ELEMENTARY,95127.0,43-69369,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,1,1,0,0,0,0,0,0,0,1,0,0,0,1,nutrition education assemblies conducted by Farm to School produce providers,0,1,0,0, ,10,1,3,3,4, , , ,1,2,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0, ,1,1,4,4,4,4,4,4,4,4,4,4, ,"Fruit, Vegetables", , , , , , , ,2,2,1,4,7,7,7,7,7,7,7,7, ,3000000,3000000,50,50,50 %,50,50,50,1500000,1500000,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,.,lat, ,0.0,.,602310.0,6085,619,37.369368,-121.834107,1,0,10596,21,5899000,2062000,994000,2843000,221000,5954000,143228000,11,0.76133,36,2099,10117,224,278,139,48
2602113827.0,CA,ALVIEW-DAIRYLAND UNION ELEMENTARY,93610.0, ,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,1,1,0, ,.,.,2,2,2, , , ,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ,1,1,1,2,2,1,2,2,2,2,2,2, ,"Fruit, Vegetables, Milk, Eggs", ,Sald Mix,Oranges,Bananas,Carrot Sticks,Spinach,"Sald Mix, Oranges, Bananas, Carrot Sticks, Spinach",1,1,1,7,7,5,7,7,7,7,7,7, ,90000,90000,., , ,.,.,.,.,.,1, ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0, , , ,.,lat, ,0.0,.,602360.0,6039,616,37.018238,-120.31163,1,0,357,2,222000,83000,41000,98000,23000,169000,3094000,42,0.66947,1,3,217,0,135,0,1
2640235209.0,CA,ALVORD UNIFIED,92054.0, ,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,1,1,0,0,0,0,0,1,1,1,1,1,0,0,"Held a district wide Farmer's Market Wellness Fair partnering with a local university, Department of Public Health, Mayor Bailey and Fit, Fresh, Fun Forum Riverside.",1,1,1,1, ,.,.,3,3,0,"We Utilize A Three Tiered Definition Of Local- Within 25 Miles, Within County Boundaries, Within The State.", , ,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0, ,1,1,2,2,2,2,2,2,2,1,2,2, ,"Fruit, Vegetables, Baked goods", ,Oranges,Tangelos,Tangerines,Apples,Watermelon,"Oranges, Tangelos, Tangerines, Apples, Watermelon",2,4,7,7,7,7,7,7,7,7,7,7, ,5000000,5000000,., , ,.,.,.,.,.,1, ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, , ,"We Are Very Excited To Partner With Bob Knight And 28 Local Growers To Offer Our 28,000 Fresh, Local, Sustainable Produce.  We Look Forward To Increased Collaboration With Local Food.",.,lat, ,0.0,.,602430.0,6065,641,33.933707,-117.478869,1,0,19716,21,7130000,2465000,965000,3700000,1035000,6408000,222694000,11,0.37781,52,974,15228,818,2357,71,241
2623966732.0,CA,AMADOR COUNTY UNIFIED,95642.0,739800,4.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,., ,.,.,.,.,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,., , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,,,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , , ,.,lat, ,0.0,.,602450.0,6005,604,38.352585,-120.777206,1,0,2375,5,1098000,456000,140000,502000,481000,591000,33524000,32,0.39242,90,47,689,18,2851,13,252
2624485232.0,CA,ANDERSON UNION HIGH,96007.0, ,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,1,1,0,1,1,1,0,0,1,0,0,0,0,0, ,0,0,0,1, ,3,3,3,3,2, , , ,1,2,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0, ,1,2,1,1,2,2,2,2,3,3,1,4, ,"Fruit, Milk, Dairy products, Herbs","Grain/Flour, Baked goods",Pizza,Turkey Gravy,Chicken Burgers,Produce, ,"Pizza, Turkey Gravy, Chicken Burgers, Produce",1,2,5,1,7,7,7,7,7,7,2,7, ,270000,270000,16,16,16 %,16,5,5,43200,13500,3, ,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0, , , ,.,lat, ,0.0,.,602700.0,6089,601,40.442202,-122.304534,1,0,1813,5,803000,283000,133000,387000,263000,443000,19535000,22,0.57198,122,29,272,15,1513,4,81
2567914318.0,CA,ANDERSON VALLEY UNIFIED,95415.0,23-65540 State District Code  01914-Sn-23-Psd Cnips #,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,1,1,1,1,1,1,1,1,1,1,0,1,0,0, ,1,1,1,1, ,.,.,.,.,2, , , ,2,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0, ,1,1,3,3,3,3,3,3,3,3,3,4, ,"Fruit, Vegetables","Milk, Dairy products, Meat/Poultry, Eggs, Seafood, Beans/Seeds/Nuts, Grain/Flour, Baked goods, Herbs",Apples,Pears,Green Beans,Salad Greens,Apple Juice,"Apples, Pears, Green Beans, Salad Greens, Apple Juice",2,4,7,7,7,7,7,7,7,7,7,7, ,5000,5000,., , ,.,10,10,.,500,1, ,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0, , ,Our Garden Coordinator Has Taken On The Coordination Of Local Food Procurement And Deliveries For Our Cafeteria This Year. Our After School And Fresh Fruit And Vegetable Program Have Been Able To Coordinate With Local Farmers For Many Years.,.,lat, ,0.0,.,602730.0,6045,602,39.029588,-123.387201,1,0,15,1,189000,60000,37000,92000,34000,155000,6330000,42,0.53333,1,0,425,3,120,0,1
2625876628.0,CA,ANTELOPE ELEMENTARY,96080.0, ,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,1,0,1,1,1,1,0,0,1,0,0,0,0,0, ,0,1,1,0, ,.,.,.,.,2, , , ,3,3,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0, ,1,1,1,4,4,4,2,2,4,4,2,2, ,"Fruit, Vegetables, Milk", ,Apples,Oranges,Lettuce,Peppers,Mushrooms,"Apples, Oranges, Lettuce, Peppers, Mushrooms",2,2,2,6,3,6,7,7,7,7,7,7, ,115000,115000,., , ,.,.,.,.,.,4, ,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0, ,Hard To Find Time To Research, ,.,lat, ,0.0,.,602760.0,6103,601,40.186169,-122.193901,1,0,214,1,249000,100000,31000,118000,40000,203000,5051000,32,0.34112,8,10,139,9,449,0,8
2880470148.0,CA,ARCADIA UNIFIED,91007.0, ,4.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0, ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,., ,.,.,.,.,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,0,0,0,0,0,0,0,0,0,0,0,., , , , , , , , , ,0,0,0,0,0,0,0,0,.,0,0,., ,.,.,.,,,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , , , , , ,0.0,1,602970.0,6037,627,34.130667,-118.038778,1,0,9090,10,2910000,1060000,236000,1614000,1811000,662000,127207000,13,0.27844,15,6597,1266,168,1635,10,28
2879831491.0,CA,ARCATA ELEMENTARY,95521.0,62679,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,1,0,0,1,1,0,0,0,0,0,0,0,0,0, ,0,1,1,0, ,0,0,1,1,5, , , ,2,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0, ,1,1,1,1,3,3,2,3,3,3,3,., ,"Fruit, Vegetables, Milk, Dairy products","Meat/Poultry, Eggs, Beans/Seeds/Nuts, Grain/Flour, Baked goods, Herbs",Apples,Cucumbers, , , ,"Apples, Cucumbers",3,5,7,7,7,7,7,7,.,7,7,., ,95000,95000,2,2,2 %,2,2,2,1900,1900,1, ,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0, , ,"We have ordered, on a regular and long-term basis, apples from Fieldbrook Valley Apple Farms.", , , ,0.0,1,603000.0,6023,602,40.856829,-124.068191,1,0,230,1,384000,146000,63000,175000,108000,263000,8474000,33,0.59565,27,21,94,12,628,4,131
2639490547.0,CA,ARCOHE UNION ELEMENTARY,95638.0, ,4.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Another company buys and delivers our food to us.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,., ,.,.,.,.,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,., , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,,,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , , ,.,lat, ,0.0,.,603060.0,6067,607,38.29528,-121.242087,1,0,.,.,121000,47000,19000,55000,47000,79000,3647000,41,.,4,13,169,8,197,2,21
2878084828.0,CA,ARMONA UNION ELEMENTARY,93202.0, ,4.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,., ,.,.,.,.,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,0,0,0,0,0,0,0,0,0,0,0,., , , , , , , , , ,0,0,0,0,0,0,0,0,.,0,0,., ,.,.,.,,,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , , , , , ,0.0,1,603180.0,6031,621,36.312081,-119.706997,1,0,.,.,537000,210000,93000,234000,33000,533000,13958000,23,.,40,50,1234,135,803,8,77
2612009206.0,CA,AROMAS/SAN JUAN UNIFIED,95045.0, ,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,1,1,0,1,1,0,1,0,0,0,0,0,0,1, ,0,1,0,0, ,.,.,.,.,1, , , ,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0, ,1,1,1,1,1,5,5,5,5,1,5,3, ,"Fruit, Vegetables, Milk, Dairy products, Meat/Poultry, Baked goods", ,Salad,Fruit,Muffins,Chicken,Beef,"Salad, Fruit, Muffins, Chicken, Beef",1,1,1,1,1,4,7,6,1,1,7,7, ,150000,150000,30,30,30 %,30,20,20,45000,30000,1, ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0, ,No, ,.,lat, ,0.0,.,691136.0,6069,620,36.881632,-121.555053,1,0,414,1,386000,142000,65000,179000,61000,321000,11671000,42,0.18116,3,10,682,5,238,1,291
